"Day","Temperature Max","Temperature Min","Location"
"2021-7-1","59","53","Sitka, AK"
"2021-7-2","58","52","Sitka, AK"
"2021-7-3","66","54","Sitka, AK"
"2021-7-4","60","55","Sitka, AK"
"2021-7-5","63","55","Sitka, AK"
"2021-7-6","58","54","Sitka, AK"
"2021-7-7","58","53","Sitka, AK"
"2021-7-8","57","53","Sitka, AK"
"2021-7-9","60","51","Sitka, AK"
"2021-7-10","60","52","Sitka, AK"
"2021-7-11","60","54","Sitka, AK"
"2021-7-12","57","52","Sitka, AK"
"2021-7-13","57","52","Sitka, AK"
"2021-7-14","60","51","Sitka, AK"
"2021-7-15","60","54","Sitka, AK"
"2021-7-16","62","55","Sitka, AK"
"2021-7-17","62","57","Sitka, AK"
"2021-7-18","69","55","Sitka, AK"
"2021-7-19","69","56","Sitka, AK"
"2021-7-20","64","56","Sitka, AK"
"2021-7-21","58","54","Sitka, AK"
"2021-7-22","64","55","Sitka, AK"
"2021-7-23","58","54","Sitka, AK"
"2021-7-24","58","54","Sitka, AK"
"2021-7-25","58","52","Sitka, AK"
"2021-7-25","64","50","Sitka, AK"
"2021-7-27","61","54","Sitka, AK"
"2021-7-28","68","52","Sitka, AK"
"2021-7-29","70","52","Sitka, AK"
"2021-7-30","71","61","Sitka, AK"
"2021-7-31","65","60","Sitka, AK"